"ims_org_id","pred.y"
"INS00002012",6055010.31278517
"INS00002018",5751903.46675267
"INS00006672",7975166.93266765
"INS00407256",580304.419521909
"INS00569512",329337.697347031
"INS00700426",652522.301285094
"INS00739832",328522.761971892
"INS00739833",329251.738903797
"INS00775148",328734.6352388
"INS01008257",324005.817590125
"INS00001997",1853806.95364637
"INS00002005",5117789.08548829
"INS00005360",3782305.69029035
"INS00005361",12295078.0906629
"INS00005973",5368101.53009241
"INS00494074",336266.031046887
"INS00569543",497598.061998461
"INS00000525",796391.098407779
"INS00000758",2008773.50723888
"INS00005977",3867364.34547114
"INS00108353",333791.943959548
"INS00367706",1176263.24014643
"INS00000754",18570727.5375429
"INS00000757",8359332.36322479
"INS00493785",328697.98610206
"INS00637316",653310.721447466
"INS00001104",1103317.70143358
"INS00002009",1086196.85543639
"INS00002025",490503.935496427
"INS00002099",1590859.50972244
"INS00005070",1402535.48935316
"INS00005123",3113081.80189268
"INS00005124",3131590.70915695
"INS00005125",11768871.9478439
"INS00006804",329213.607375475
"INS00006805",8702584.07200991
"INS00006806",4940725.59795391
"INS00544672",664336.048326552
"INS01007680",331514.959215605
"INS00001119",6064302.29714165
"INS00006405",18343357.5997725
"INS00006406",329835.48045402
"INS00000761",336252.008337563
"INS00002001",1090373.43926243
"INS00002094",1504303.38209605
"INS00002097",704067.045855908
"INS00002098",7096668.19506522
"INS00000760",3735992.2445073
"INS00611620",483996.62992214
"INS00002023",5634164.39268925
"INS00641546",5919238.8001379
"INS00002017",5534737.27112538
"INS00005954",1710653.09877334
"INS00005362",5975688.41885182
"INS00005974",4172653.74718822
"INS00005975",1961821.14700209
"INS00573779",328183.311099128
"INS00002020",3422383.61475199
"INS00002096",5894341.44810549
"INS00002107",815816.419773799
"INS00005940",5114219.7599531
"INS00005941",332195.059499772
"INS00006084",9657302.36198177
"INS00002103",7534419.61121495
"INS00005953",17813045.6560643
"INS00005956",898105.534757955
"INS00571902",329175.1149793
"INS01074439",329773.19820359
"INS01023199",328988.63304527
"INS01176659",330482.741847851
"INS00001564",13784359.7428577
"INS00001565",318432.921466195
"INS00001568",21910081.8395298
"INS00001570",556901.795746385
"INS00002166",5734066.37101272
"INS00002192",22571341.5999946
"INS00005154",11600034.4675703
"INS00005423",24529463.0446262
"INS00005424",2246971.83314143
"INS00005425",51760556.9133484
"INS00005427",327644.375036576
"INS00005479",6363456.9481932
"INS00005483",4157927.29623509
"INS00005484",28817141.4079083
"INS00005488",357459.230168654
"INS00005491",31279043.3708006
"INS00005492",2707747.42994216
"INS00006723",2246971.83314143
"INS00367704",5069610.36428427
"INS00557750",328268.54424269
"INS00758149",7355202.14902649
"INS00932258",337013.515802385
"INS01037788",328573.219268254
"INS00001184",6117013.91356363
